Kode,Nama Paket,Instansi,Tahap,HPS
5363119,"Pekerjaan Casing Gedung Depan (Dinding Kanan, Kiri, dan Belakang) spse 3  Pekerjaan Konstruksi - TA 2018 - Lelang Pemilihan Langsung - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat",Lembaga Penyiaran Radio Republik Indonesia,Tender Sudah Selesai,981 Jt
5362119,Pengadaan Peralatan Laboratorium Pendidikan Paket 4 Fakultas Teknik Undip Tahun 2018 spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Universitas Diponegoro,Tender Sudah Selesai,"1,8 M"
5361119,-     Kendaraan Es 2 (Dewan Direksi) Tender Ulang spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Penyiaran Radio Republik Indonesia,Tender Sudah Selesai,"2,5 M"
5360119,Pekerjaan Rehabilitasi Fasum Komplek Sawangan spse 3  Pekerjaan Konstruksi - TA 2018 - Lelang Pemilihan Langsung - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"678,8 Jt"
5359119,Pekerjaan Rehabilitasi Gedung Kantor (Koridor Gedung Saleh Afif Lantai 5 dan Lantai 6) spse 3  Pekerjaan Konstruksi - TA 2018 - Lelang Pemilihan Langsung - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"340,3 Jt"
5357119,Relationship Manager Kegiatan Koordinasi strategis Fasilitasi Pemerintah dalam Pembiayaan Non Anggaran Pemerintah spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,140 Jt
5356119,Pengadaan Peralatan Laboratorium Pendidikan Paket 2 Fakultas Teknik Undip Tahun 2018 spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Universitas Diponegoro,Tender Sudah Selesai,"1,2 M"
5354119,DATABASE MANAGER PADA SEKRETARIAT RAN-GRK spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,55 Jt
5353119,Pekerjaan Renovasi Tata Ruang Dalam Auditorium Abdulrahman Saleh spse 3  Pekerjaan Konstruksi - TA 2018 - Lelang Pemilihan Langsung - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Penyiaran Radio Republik Indonesia,Tender Sudah Selesai,3 M
5350119,Jasa Konsultansi Program Management Office (PMO) untuk Program Inisiatif Quick Win spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File Kualitas dan BiayaNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"1,8 M"
5348119,Pengadaan Jasa Konsultansi Perorangan Tenaga Ahli Bidang Big Data Analytic Peta Jalan Sistem Perdagangan Nasional Berbasis Elektronik (SPNBE) Tahun Anggaran 2018 spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Umum - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Koordinator Bidang Perekonomian,Tender Sudah Selesai,"232,5 Jt"
5346119,Pengadaan Jasa Konsultan Kegiatan Backgroun Study Arah Pembangunan Nasional Berbasis Kewilayahan dan Tata Ruang RPJMN 2020-2024 spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File Kualitas dan BiayaNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"1,6 M"
5345119,Pengadaan Jasa Konsultansi Badan Usaha Penyusunan Pedoman Penyelenggaraan dan Rencana Induk Teknologi Informasi dan Komunikasi Tahun 2019-2023 Kementerian Koordinator Bidang Perekonomian spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Koordinator Bidang Perekonomian,Tidak Ada Jadwal,"299,5 Jt"
5344119,Tenaga Konsultan  Bidang Pengelolaan Sumber Daya Alam Tender Ulang spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,72 Jt
5343119,"Pengadaan Jasa Konsultansi Badan Usaha untuk Penyusunan Studi Ekonomi Holtikultura Indonesia: Potensi Permintaan, Struktur Produksi, dan Sistem Rantai Nilai Tahun Anggaran 2018 spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat",Kementerian Koordinator Bidang Perekonomian,Tidak Ada Jadwal,"2,1 M"
5342119,"Pengadaan Pipa HDPE dan PVC untuk Stock Gudang spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Rp 384.483.000,00",PDAM Kabupaten Semarang,Tender Sudah Selesai,"402,1 Jt"
5341119,"Pengadaan Water Meter Dia 15 mm Untuk Program SR MBR Tahun 2018 spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Rp 285.780.000,00",PDAM Kabupaten Semarang,Tender Sudah Selesai,"316,8 Jt"
5340119,Konsultan Badan Usaha Pengembangan Materi Pelatihan Soft Competency/ Penyusunan Materi Soft Competency/ Peningkatan Kapasitas Sumber Daya Pembelajaran/ Pusdiklat PBJ Seleksi Ulang spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File Pagu AnggaranNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Tender Sudah Selesai,171 Jt
5339119,Penyelenggaraan Uji Kompetensi spse 4  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Sekretariat Kabinet,Tender Sudah Selesai,"2,6 M"
5337119,Sewa Hosting spse 3  Jasa Lainnya - TA 2018 - Lelang Sederhana - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Koordinator Bidang Kemaritiman,Tender Sudah Selesai,"482,3 Jt"
5336119,Tenaga Ahli Bidang Hubungan Internasional Tender Ulang spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,60 Jt
5335119,Konsultan Manajemen Konstruksi Penataan Kembali Ruang Kerja spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File Kualitas dan BiayaNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"1,2 M"
5333119,Tenaga Ahli Bidang Pengembangan Wilayah spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,78 Jt
5332119,"Konsultan perencana renovasi gedung atk dan arsip spse 4  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Rp 279.620.000,00",Majelis Permusyawaratan Rakyat,Tender Sudah Selesai,"297,7 Jt"
5331119,"Pengadaan CCTV System spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Rp 1.637.073.185,00",Majelis Permusyawaratan Rakyat,Tender Sudah Selesai,"1,6 M"
5329119,Penasehat Menteri spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Umum - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,249 Jt
5327119,Jasa Konsultan Penyusunan Masterplan Ekonomi Syariah Indonesia spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File Kualitas dan BiayaNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"11,7 M"
5326119,Tenaga Ahli KPBU 2 spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"122,5 Jt"
5323119,Storage dan Data Base Naskah Dinas Elektronik (NDE) spse 3  Jasa Lainnya - TA 2018 - Lelang Sederhana - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Koordinator Bidang Kemaritiman,Tender Sudah Selesai,450 Jt
5322119,"PLANNING, MONITORING AND EVALUATION MANAGER Tender Ulang spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat",Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,135 Jt
5318119,Pembangunan Kantor Cabang VIII Karas spse 4  Pekerjaan Konstruksi - TA 2018 - Lelang Pemilihan Langsung - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,PDAM Lawu Tirta,Tender Sudah Selesai,500 Jt
5314119,Pengadaan Sertifikat Sosialisasi spse 4  Jasa Lainnya - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Majelis Permusyawaratan Rakyat,Tender Sudah Selesai,"1,5 M"
5313119,Pengadaan Sewa Ruang Kantor Sekretariat ICCTF Tahun Anggaran 2018 spse 3  Jasa Lainnya - TA 2018 - Lelang Sederhana - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"1,2 M"
5312119,Pengadaan Submersible Pump Merk Turbosan Type DAS-SC 300/500 dan Control Panel Variable Speed Drive spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,PDAM Tirta Moedal,Tender Sudah Selesai,"2,1 M"
5311119,Pengadaan Peralatan Laboratorium Pendidikan Fakultas Ekonomika dan Bisnis Universitas Diponegoro Tahun 2018 spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Universitas Diponegoro,Tender Sudah Selesai,"2,1 M"
5308119,Penayangan ILM / Pemberitaan Melalui Media Online spse 3  Jasa Lainnya - TA 2018 - Lelang Umum - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,Tender Sudah Selesai,15 M
5304119,Pekerjaan Rehabilitasi Gedung Kantor Ruang Kerja Gedung Saleh Afifi Lantai 4 spse 3  Pekerjaan Konstruksi - TA 2018 - Lelang Pemilihan Langsung - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"919,9 Jt"
5302119,"Pengadaan Pipa HDPE dan PVC untuk Jaringan Pipa Distribusi Tender Ulang spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Rp 578.473.500,00",PDAM Kabupaten Semarang,Tender Sudah Selesai,"653,5 Jt"
5299119,Pengadaan Konsultansi Background Study RPJMN 2020-2024 Bidang Pariwisata dan ekonomi Kreatif spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File Kualitas dan BiayaNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,500 Jt
5297119,"Pengadaan Material SR Program MBR Tahun 2018 spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Rp 424.970.150,00",PDAM Kabupaten Semarang,Tender Sudah Selesai,"435,3 Jt"
5296119,Pengadaan Atribut Peserta (jaket) Seminar Badan Penganggaran Tahun 2018 spse 4  Jasa Lainnya - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Majelis Permusyawaratan Rakyat,Tender Sudah Selesai,"4,7 M"
5294119,Sewa Jasa Pindah Kantor MCA-Indonesia spse 3  Jasa Lainnya - TA 2018 - Lelang Sederhana - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"541,5 Jt"
5292119,"Pengadaan Pipa PVC 2 S-12.5 spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Rp 308.057.904,00",PDAM Lawu Tirta,Tender Sudah Selesai,"414,1 Jt"
5289119,Pengadaan Pengembangan Security Jaringan Terpusat spse 4  Pengadaan Barang - TA 2018 - Lelang Sederhana - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Tender Sudah Selesai,"2,2 M"
5286119,Pekerjaan Rehabilitasi Ruang Kerja Gedung TS2A Lantai 3 dan Lantai 4 spse 3  Pekerjaan Konstruksi - TA 2018 - Lelang Pemilihan Langsung - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,966 Jt
5285119,Ganeral Administrative Manager spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"108,5 Jt"
5284119,Pengadaan Tenaga Ahli Teknik Sipil Tender Ulang spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,84 Jt
5279119,Pengadaan Accesories Sambungan Rumah (SR) spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,PDAM Tirta Mahakam,Tender Sudah Selesai,"1,2 M"
5277119,Pengadaan Alat - Alat Laboratorium spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,PDAM Tirta Mahakam,Tender Sudah Selesai,750 Jt
5276119,Pengadaan Jasa Konsultansi Background Study Kebijakan Pembangunan Nasional 2020-2024 Bidang PIKEI Seleksi Ulang spse 3  Evaluasi UlangJasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File Kualitas dan BiayaNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,1 M
5275119,Pengadaan Bahan Kimia Kaporit spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,PDAM Tirta Mahakam,Tender Sudah Selesai,"3,7 M"
5274119,Pengadaan Perangkat Monitoring Jaringan spse 3  Pengadaan Barang - TA 2018 - Lelang Sederhana - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Koordinator Bidang Kemaritiman,Tender Sudah Selesai,"2,4 M"
5273119,Pengadaan Peralatan Laboratorium Fakultas Psikologi Undip Tahun 2018 spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Universitas Diponegoro,Tender Sudah Selesai,549 Jt
5271119,Tenaga Ahli Relationships Manager Senior Kegiatan Koordinasi strategis Fasilitasi Pemerintah dalam Pembiayaan Non Anggaran Pemerintah spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Umum - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,322 Jt
5270119,Pengadaan Personal Komputer dan Laptop Tender Ulang spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Koordinator Bidang Kemaritiman,Tender Sudah Selesai,"1,1 M"
5267119,Tenaga Ahli Bidang Kebijakan Publik Tender Ulang spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,70 Jt
5264119,Group Head Kegiatan Koordinasi strategis Fasilitasi Pemerintah dalam Pembiayaan Non Anggaran Pemerintah spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Umum - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,483 Jt
5262119,PENGADAAN PERALATAN ELEKTRONIK UNTUK LABORATORIUM FAKULTAS HUKUM UNIVERSITAS DIPONEGORO TAHUN 2018 spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Universitas Diponegoro,Tender Sudah Selesai,"1,6 M"
5261119,Tenaga Ahli Perencanaan Proyek Infrastruktur Kegiatan Koordinasi Strategis Pelaksanaan Kantor Bersama KPBU Tender Ulang spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,96 Jt
5260119,Communication Manager spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,126 Jt
5256119,TENAGA AHLI KAJIAN IMPLEMENTASI PP 17/2017DALAM MEMPERKUAT SINERGI PENDANAAN PEMBANGUNAN PUSAT -  DAERAH Tender Ulang spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,111 Jt
5255119,Pengadaan Peralatan Laboratorium Komputer Prodi Ilmu Perpustakaan Fakultas Ilmu Budaya Undip Tahun 2018 spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Universitas Diponegoro,Tender Sudah Selesai,350 Jt
Kode,Nama Paket,Instansi,Tahap,HPS
5253119,Pengadaan Jasa Konsultansi Badan Usaha Kegiatan Assesmen Kompetensi Pegawai di Lingkungan Kebijakan Pengadaan Barang/Jasa Pemerintah Tahun 2018 spse 4  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File Pagu AnggaranNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Tender Sudah Selesai,"139,5 Jt"
5249119,Pengiriman Mobil Perlindungan Perempuan dan Anak (MOLIN) Tahun 2017 Tender Ulang spse 4  Jasa Lainnya - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Tender Sudah Selesai,"603,6 Jt"
5248119,Pengadaan ATK dan Bahan Komputer di Lingkungan Biro Umum dan Keuangan spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Tender Sudah Selesai,"287,3 Jt"
5247119,Jasa Pengelolaan Website spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File Kualitas dan BiayaNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,Tender Sudah Selesai,450 Jt
5245119,Pengadaan Jasa Lainnya Event Organizer Kegiatan Direktorat Penanganan Permasalahan Hukum spse 4  Jasa Lainnya - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Tender Sudah Selesai,2 M
5243119,Pengadaan Pipa HDPE Diameter 2 inchi ( 63 mm ) SDR 17 PN 10 Tender Ulang spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,PDAM Tirta Moedal,Tender Sudah Selesai,"1,8 M"
5240119,Pengadaan Barang Conference System Ruang Rapat Paripurna Tender Ulang spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Tender Sudah Selesai,"742,2 Jt"
5238119,Belanja Jasa Konsultan Badan Usaha Evaluasi dan Efektivitas dan capaian Pelaksanaan Kebijakan Program Keselamatan Jalan Sebagai Masukan Background Study RPJMN 2020-2024 spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File Kualitas dan BiayaNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"979,7 Jt"
5237119,Belanja Jasa Konsultan Badan Usaha Monitoring dan evaluasi Efefektivitas Perencanaan dan Pelaksanaan DAK Penugasan Bidang Jalan Tahun 2018 spse 3  Jasa Konsultansi Badan Usaha - TA 2018 - Seleksi Umum - Prakualifikasi Dua File Kualitas dan BiayaNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"985,7 Jt"
5236119,"Renovasi Gedung Pertemuan PDAM Tirta Gemilang spse 4  Pekerjaan Konstruksi - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Rp 461.725.000,00",PDAM Tirta Gemilang Kabupaten Magelang,Tender Sudah Selesai,"581,5 Jt"
5235119,Pengadaan Audio Processor FM spse 3  Pengadaan Barang - TA 2018 - Lelang Sederhana - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Penyiaran Radio Republik Indonesia,Tender Sudah Selesai,"543,4 Jt"
5234119,Pengadaan Audio Mixer Analog spse 3  Pengadaan Barang - TA 2018 - Lelang Sederhana - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Penyiaran Radio Republik Indonesia,Tender Sudah Selesai,880 Jt
5233119,Pengadaan Alat Tulis Kantor dan Bahan Komputer spse 3  Pengadaan Barang - TA 2018 - Lelang Sederhana - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"1,5 M"
5232119,"Tenaga Ahli Komunikasi dan Advokasi Sekretariat Kelompok Kerja Perumahan, Permukiman, Air Minum dan Sanitasi Nasional Dit. PERKIM Tender Ulang spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat",Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,80 Jt
5231119,TENAGA AHLI BIDANG EVALUASI spse 3  Jasa Konsultansi Perorangan - TA 2018 - Seleksi Sederhana - Pascakualifikasi Satu File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tender Sudah Selesai,"67,6 Jt"
5230119,"Pengadaan Barang Sambungan Rumah (SR) Program MBR PDAM Tirto Panguripan Kabupaten Kendal spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Rp 1.109.172.295,00",Pemerintah Daerah Kabupaten Kendal,Tender Sudah Selesai,"1,2 M"
5227119,Pengadaan Jasa Lainnya Annual Technical Support (ATS) Oracle TA. 2018 Tender Ulang spse 4  Jasa Lainnya - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Tender Sudah Selesai,1 M
5226119,"Penyediaan Jasa Pekerja SATPAM PDAM Kabupaten Semarang spse 4  Jasa Lainnya - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Rp 223.863.816,00",PDAM Kabupaten Semarang,Tender Sudah Selesai,"227,7 Jt"
5224119,Pengadaan Meter Air Diameter 1/2 inch Class B R50 Itron spse 4  Pengadaan Barang - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,PDAM Tirta Moedal,Tender Sudah Selesai,"2,5 M"
5220119,Pengadaan Seminar kit spse 4  Jasa Lainnya - TA 2018 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Majelis Permusyawaratan Rakyat,Tender Sudah Selesai,"2,9 M"
